STOPNAME,TRAPEZESTO,RUCUSSTOPA,STOPID,LATITUDE,LONGITUDE,ACCESSIBIL,ATSTREET,ONSTREET,POSITION,ORIENTATIO,SERVICEPLA,SHELTER,INSERT_TIM,SIGNUPID,SUPERVISOR
Stanyan St&Frederick St NE-FS/BZ,STANFRE1,STANFRED,6478.0000000000,37.7664490000,-122.4529140000,0.0000000000,FREDERICK ST,STANYAN ST,FS,NE,BZ,0.0000000000,2012/02/23,76.0000000000,
Market bet. 4th & 3rd St SE-MB/BZ,MRKT.4/3,MRKT.4/3,5642.0000000000,37.7865970000,-122.4045860000,0.0000000000,4TH ST,MARKET ST,MB,SE,BZ,0.0000000000,2012/02/23,76.0000000000,
Market St&3rd St E-FS/BZ,MRKT.3ST,MRKT.3ST,5641.0000000000,37.7877120000,-122.4032090000,0.0000000000,3RD ST,MARKET ST,NS,S,BZ,0.0000000000,2012/02/23,76.0000000000,
Mission St&Main St N-NS/BZ,MISSMAI0,MISSMAIN,5603.0000000000,37.7919650000,-122.3949300000,0.0000000000,MAIN ST,MISSION ST,NS,N,BZ,0.0000000000,2012/02/23,76.0000000000,
Parnassus Ave&Shrader St SW-NS/PS,PARNSHR1,PARNSHRA,5894.0000000000,37.7646020000,-122.4512980000,0.0000000000,SHRADER ST,PARNASSUS AVE,NS,SW,,0.0000000000,2012/02/23,76.0000000000,
Parnassus Ave&Shrader St NE-NS/PS,PARNSHR0,PARNSHRA,5893.0000000000,37.7647710000,-122.4511030000,0.0000000000,SHRADER ST,PARNASSUS AVE,NS,NE,,1.0000000000,2012/02/23,76.0000000000,
Ortega St&10th Ave NE-NS/BZ,ORTG10A0,ORTG10AV,5827.0000000000,37.7528850000,-122.4664790000,0.0000000000,10TH AVE,ORTEGA ST,NS,NE,BZ,0.0000000000,2012/02/23,76.0000000000,
Ortega St&9th Ave SW-NS/PS,ORTG 9A1,ORTG 9AV,5826.0000000000,37.7527780000,-122.4656310000,0.0000000000,10TH AVE,ORTEGA ST,NS,SW,,0.0000000000,2012/02/23,76.0000000000,
Market St&Drumm St N-NS/BZ,MRKTDRU0,MRKTDRUM,5669.0000000000,37.7934730000,-122.3961780000,0.0000000000,DRUMM ST,MARKET ST,NS,N,BZ,1.0000000000,2012/02/23,76.0000000000,
Market St&Van Ness Ave N-NS/SI,MRKTV.N0,MRKTV.N.,5696.0000000000,37.7752430000,-122.4191830000,0.0000000000,VAN NESS AVE,MARKET ST,NS,N,SI,0.0000000000,2012/02/23,76.0000000000,
Market St&1st St S-NS/BZ,MRKT.1S1,MRKT.1ST,5638.0000000000,37.7908960000,-122.3991380000,0.0000000000,1ST ST,MARKET ST,NS,S,BZ,0.0000000000,2012/02/23,76.0000000000,
Page St&Franklin St SW-NS/BZ,PAGEFRK1,PAGEFRKL,5860.0000000000,37.7741900000,-122.4209600000,0.0000000000,FRANKLIN ST,PAGE ST,NS,SW,BZ,0.0000000000,2012/02/23,76.0000000000,
Lincoln Way&Arguello Blvd SW-NS/BZ,LWAYARG1,LWAYARGL,5325.0000000000,37.7659840000,-122.4579560000,0.0000000000,ARGUELLO BLVD,LINCOLN WY,NS,SW,BZ,0.0000000000,2012/02/23,76.0000000000,
Lincoln Way&7th Ave NW-FS/BZ,LWAY 7A0,LWAY 7AV,5298.0000000000,37.7660910000,-122.4646030000,0.0000000000,7TH AVE,LINCOLN WY,FS,NW,BZ,0.0000000000,2012/02/23,76.0000000000,
Lincoln Way&5th Ave SE-FS/BZ,LWAY 5A1,LWAY 5AV,5297.0000000000,37.7660470000,-122.4618870000,0.0000000000,5TH AVE,LINCOLN WY,FS,SE,BZ,1.0000000000,2012/02/23,76.0000000000,
Lincoln Way&5th Ave NW-FS/BZ,LWAY 5A0,LWAY 5AV,5296.0000000000,37.7661800000,-122.4624600000,0.0000000000,5TH AVE,LINCOLN WY,FS,NW,BZ,0.0000000000,2012/02/23,76.0000000000,
Lincoln Way&3rd Ave SW-NS/BZ,LWAY 3A1,LWAY 3AV,5295.0000000000,37.7661200000,-122.4601400000,0.0000000000,03RD AVE,LINCOLN WAY,FS,SE,BZ,1.0000000000,2012/02/23,76.0000000000,
Haight St&Gough St NW-FS/BZ,HAITGOU0,HAITGOUG,4954.0000000000,37.7731830000,-122.4225530000,0.0000000000,GOUGH ST,HAIGHT ST,FS,NW,BZ,1.0000000000,2012/02/23,76.0000000000,
Haight St&Fillmore St SE-FS/BZ,HAITFIL1,HAITFILL,4953.0000000000,37.7720690000,-122.4301980000,0.0000000000,FILLMORE ST,HAIGHT ST,FS,SE,BZ,1.0000000000,2012/02/23,76.0000000000,
Haight St&Fillmore St NW-FS/BZ,HAITFIL0,HAITFILL,4952.0000000000,37.7721400000,-122.4307600000,0.0000000000,FILLMORE ST,HAIGHT ST,FS,NW,BZ,1.0000000000,2012/02/23,76.0000000000,
Haight St&Divisadero St SE-FS/BZ,HAITDIV1,HAITDIVI,4951.0000000000,37.7712310000,-122.4367430000,0.0000000000,DIVISADERO ST,HAIGHT ST,FS,SE,BZ,1.0000000000,2012/02/23,76.0000000000,
Haight St&Divisadero St NW-FS/BZ,HAITDIV0,HAITDIVI,4950.0000000000,37.7712930000,-122.4373730000,0.0000000000,DIVISADERO ST,HAIGHT ST,FS,NW,BZ,1.0000000000,2012/02/23,76.0000000000,
Haight St&Cole St SW-NS/BZ,HAITCOL1,HAITCOLE,4949.0000000000,37.7694380000,-122.4507940000,0.0000000000,COLE ST,HAIGHT ST,NS,SW,BZ,0.0000000000,2012/02/23,76.0000000000,
Haight St&Cole St NW-FS/BZ,HAITCOL0,HAITCOLE,4948.0000000000,37.7695980000,-122.4507820000,0.0000000000,COLE ST,HAIGHT ST,FS,NW,BZ,0.0000000000,2012/02/23,76.0000000000,
Haight St&Clayton St SW-NS/BZ,HAITCLT1,HAITCLTN,4947.0000000000,37.7697140000,-122.4486620000,0.0000000000,CLAYTON ST,HAIGHT ST,NS,SW,BZ,0.0000000000,2012/02/23,76.0000000000,
Haight St&Clayton St NE-NS/BZ,HAITCLT0,HAITCLTN,4946.0000000000,37.7698930000,-122.4484670000,0.0000000000,CLAYTON ST,HAIGHT ST,NS,NE,BZ,0.0000000000,2012/02/23,76.0000000000,
Haight St&Buena Vista West Ave S,HAITBV W,HAITBV W,4944.0000000000,37.7704370000,-122.4429540000,0.0000000000,BUENA VISTA WEST AVE,HAIGHT ST,FS,SE,BZ,1.0000000000,2012/02/23,76.0000000000,
Haight St&Buena Vista East Ave S,HAITBV B,HAITBV E,4943.0000000000,37.7707490000,-122.4405480000,0.0000000000,BUENA VISTA EAST AVE,HAIGHT ST,NS,SW,BZ,1.0000000000,2012/02/23,76.0000000000,
Haight St&Buchanan St SW-NS/BZ,HAITBUC1,HAITBUCH,4942.0000000000,37.7724340000,-122.4273210000,0.0000000000,BUCHANAN ST,HAIGHT ST,NS,SW,BZ,1.0000000000,2012/02/23,76.0000000000,
Haight St&Buchanan St NE-NS/BZ,HAITBUC0,HAITBUCH,4941.0000000000,37.7726120000,-122.4270580000,0.0000000000,BUCHANAN ST,HAIGHT ST,NS,NE,BZ,0.0000000000,2012/02/23,76.0000000000,
Haight St&Baker St NE-NS/BZ,HAITBAK0,HAITBAKR,4940.0000000000,37.7709280000,-122.4402610000,0.0000000000,BAKER ST,HAIGHT ST,NS,NE,BZ,1.0000000000,2012/02/23,76.0000000000,
Haight St&Stanyan St SE-FS/BZ,HAITSTA3,HAITSTAN,4963.0000000000,37.7691700000,-122.4530750000,0.0000000000,STANYAN ST,HAIGHT ST,FS,SE,BZ,1.0000000000,2012/02/23,76.0000000000,
Haight St&Stanyan St N-MB/BZ,HAITSTA1,HAITSTAN,4962.0000000000,37.7693310000,-122.4528450000,0.0000000000,STANYAN ST,HAIGHT ST,MB,N,BZ,0.0000000000,2012/02/23,76.0000000000,
Haight St&Pierce St SW-NS/BZ,HAITPIE1,HAITPIER,4961.0000000000,37.7716050000,-122.4338540000,0.0000000000,PIERCE ST,HAIGHT ST,NS,SW,BZ,0.0000000000,2012/02/23,76.0000000000,
Haight St&Pierce St NE-NS/BZ,HAITPIE0,HAITPIER,4960.0000000000,37.7717750000,-122.4336370000,0.0000000000,PIERCE ST,HAIGHT ST,NS,NE,BZ,0.0000000000,2012/02/23,76.0000000000,
Haight St&Octavia St NW-FS/BZ,HAITOCT0,HAITOCTA,4959.0000000000,37.7729690000,-122.4241920000,0.0000000000,OCTAVIA ST,HAIGHT ST,NS,NE,,0.0000000000,2012/02/23,76.0000000000,
California St&Spruce St SW-NS/BZ,CALISPR1,CALISPRC,3897.0000000000,37.7863340000,-122.4535170000,0.0000000000,SPRUCE ST,CALIFORNIA ST,NS,SW,BZ,1.0000000000,2012/02/23,76.0000000000,
California St&25th Ave SW-NS/BZ,CALI25A1,CALI25AV,3840.0000000000,37.7838080000,-122.4852860000,0.0000000000,25TH AVE,CALIFORNIA ST,NS,SW,BZ,1.0000000000,2012/02/23,76.0000000000,
Sacramento St&Grant Ave NW-FS/BZ,SACOGRN0,SACOGRNT,6299.0000000000,37.7934110000,-122.4063060000,0.0000000000,GRANT AVE,SACRAMENTO ST,FS,NW,BZ,1.0000000000,2012/02/23,76.0000000000,
California St&Arguello Blvd NW-FS,CALIARG0,CALIARGL,3845.0000000000,37.7857030000,-122.4592880000,0.0000000000,ARGUELLO BLVD,CALIFORNIA ST,FS,NW,BZ,0.0000000000,2012/02/23,76.0000000000,
Sacramento St&Gough St NW-FS/BZ,SACOGOU0,SACOGOUG,6298.0000000000,37.7908870000,-122.4261320000,0.0000000000,GOUGH ST,SACRAMENTO ST,FS,NW,BZ,1.0000000000,2012/02/23,76.0000000000,
Clay St&Powell St SW-NS/BZ,CLAYPOW1,CLAYPOWL,4027.0000000000,37.7937900000,-122.4097740000,0.0000000000,POWELL ST,CLAY ST,NS,SW,BZ,0.0000000000,2012/02/23,76.0000000000,
Clay St&Kearny St SE-FS/BZ,CLAYKRN1,CLAYKRNY,4021.0000000000,37.7944770000,-122.4044110000,0.0000000000,KEARNY ST,CLAY ST,FS,SE,BZ,0.0000000000,2012/02/23,76.0000000000,
Corwall St&6th Ave SE-FS/SB,CORN 6A0,,7296.0000000000,37.7847120000,-122.4644240000,0.0000000000,6TH AVE,CORNWALL ST,,,,0.0000000000,2012/02/23,76.0000000000,
Sacramento St&Larkin St NW-FS/BZ,SACOLAR0,SACOLARK,6303.0000000000,37.7917210000,-122.4195310000,0.0000000000,LARKIN ST,SACRAMENTO ST,FS,NW,BZ,0.0000000000,2012/02/23,76.0000000000,
Sacramento St&Octavia St N-MI/BZ,SACOOCT0,SACOOCTA,6309.0000000000,37.7907090000,-122.4275020000,0.0000000000,OCTAVIA ST,SACRAMENTO ST,MI,N,BZ,1.0000000000,2012/02/23,76.0000000000,
California St&Presidio Ave NW-FS/BZ,CALIPRE0,CALIPRES,3892.0000000000,37.7873280000,-122.4469080000,0.0000000000,PRESIDIO AVE,CALIFORNIA ST,FS,NW,BZ,1.0000000000,2012/02/23,76.0000000000,
California St&Cherry St SE-FS/BZ,CALICHR1,CALICHRY,3853.0000000000,37.7859740000,-122.4563290000,0.0000000000,CHERRY ST,CALIFORNIA ST,FS,SE,BZ,1.0000000000,2012/02/23,76.0000000000,
Sacramento St&Sproule Ln NE-NS/PS,SACOSPR0,SACOSPRL,6315.0000000000,37.7926730000,-122.4118640000,0.0000000000,SPROULE LN,SACRAMENTO ST,NS,NE,,0.0000000000,2012/02/23,76.0000000000,
California St&Laurel St NE-NS/BZ,CALILAU0,CALILARL,3875.0000000000,37.7869230000,-122.4499570000,0.0000000000,LAUREL ST,CALIFORNIA ST,NS,NE,BZ,1.0000000000,2012/02/23,76.0000000000,
California St&10th Ave NW-FS/PS,CALI10A0,CALI10AV,3828.0000000000,37.7846650000,-122.4691590000,0.0000000000,10TH AVE,CALIFORNIA ST,NS,NE,,0.0000000000,2012/02/23,76.0000000000,
Sacramento St&Sansome St NW-FS/BZ,SACOSAN0,SACOSANS,6314.0000000000,37.7940300000,-122.4015510000,0.0000000000,SANSOME ST,SACRAMENTO ST,FS,NW,BZ,0.0000000000,2012/02/23,76.0000000000,
California St&19th Ave SW-NS/BZ,CALI19A1,CALI19AV,3836.0000000000,37.7841090000,-122.4787100000,0.0000000000,19TH AVE,CALIFORNIA ST,NS,SW,,1.0000000000,2012/02/23,76.0000000000,
Sacramento St&Buchanan St NE-NS/BZ,SACOBUC0,SACOBUCH,6291.0000000000,37.7903160000,-122.4306170000,0.0000000000,BUCHANAN ST,SACRAMENTO ST,NS,NE,BZ,1.0000000000,2012/02/23,76.0000000000,
Sacramento St&Battery St NW-FS/BZ,SACOBAT0,SACOBATT,6290.0000000000,37.7941350000,-122.4001790000,0.0000000000,BATTERY ST,SACRAMENTO ST,FS,NW,BZ,0.0000000000,2012/02/23,76.0000000000,
Sacramento St&Webster St SW-NS/BZ,SACOWEB1,SACOWEBS,6320.0000000000,37.7899870000,-122.4325000000,0.0000000000,WEBSTER ST,SACRAMENTO ST,NS,SW,BZ,1.0000000000,2012/02/23,76.0000000000,
Sacramento St&Webster St NE-NS/BZ,SACOWEB0,SACOWEBS,6319.0000000000,37.7901070000,-122.4322260000,0.0000000000,WEBSTER ST,SACRAMENTO ST,NS,NE,BZ,0.0000000000,2012/02/23,76.0000000000,
Sacramento St&Van Ness Ave NE-NS,SACOV.N0,SACOV.N.,6317.0000000000,37.7913780000,-122.4222860000,0.0000000000,VAN NESS AVE,SACRAMENTO ST,NS,NE,BZ,1.0000000000,2012/02/23,76.0000000000,
Sacramento St&Leavenworth St NE-NS,SACOLEA0,SACOLEAV,6304.0000000000,37.7921830000,-122.4157550000,0.0000000000,LEAVENWORTH ST,SACRAMENTO ST,NS,NE,BZ,0.0000000000,2012/02/23,76.0000000000,
Sacramento St&Montgomery St NW-FS,SACOMTG0,SACOMTGY,6307.0000000000,37.7938420000,-122.4030680000,0.0000000000,MONTGOMERY ST,SACRAMENTO ST,NS,NE,BZ,0.0000000000,2012/02/23,76.0000000000,
Steiner St&Sacramento St SE-NS/SB,STEISAC1,STEISACO,6489.0000000000,37.7893290000,-122.4355560000,0.0000000000,SACRAMENTO ST,STEINER ST,NS,SE,,0.0000000000,2012/02/23,76.0000000000,
Sacramento St&Stockton St NE-NS/BZ,SACOSTO0,SACOSTOK,6316.0000000000,37.7932360000,-122.4075910000,0.0000000000,STOCKTON ST,SACRAMENTO ST,NS,NE,BZ,1.0000000000,2012/02/23,76.0000000000,
California St&Arguello Blvd SE-FS,CALIARG1,CALIARGL,3846.0000000000,37.7856590000,-122.4590360000,0.0000000000,ARGUELLO BLVD,CALIFORNIA ST,FS,SE,BZ,0.0000000000,2012/02/23,76.0000000000,
Sacramento St&Buchanan St SW-NS/BZ,SACOBUC1,SACOBUCH,6292.0000000000,37.7901940000,-122.4308550000,0.0000000000,BUCHANAN ST,SACRAMENTO ST,NS,SW,BZ,1.0000000000,2012/02/23,76.0000000000,
Sacramento St&Kearny St NW-FS/BZ,SACOKRN0,SACOKRNY,6302.0000000000,37.7935750000,-122.4048460000,0.0000000000,KEARNY ST,SACRAMENTO ST,FS,NW,BZ,1.0000000000,2012/02/23,76.0000000000,
Steiner St&California St NW-NS/BZ,STEICAL0,STEICALI,6486.0000000000,37.7888440000,-122.4355680000,0.0000000000,CALIFORNIA ST,STEINER ST,NS,NW,BZ,0.0000000000,2012/02/23,76.0000000000,
Sacramento St&Hyde St NE-NS/BZ,SACOHYD0,SACOHYDE,6300.0000000000,37.7919700000,-122.4174450000,0.0000000000,HYDE ST,SACRAMENTO ST,NS,NE,BZ,0.0000000000,2012/02/23,76.0000000000,
Sacramento St&Franklin St NE-NS/BZ,SACOFRK0,SACOFRKL,6297.0000000000,37.7911500000,-122.4240370000,0.0000000000,FRANKLIN ST,SACRAMENTO ST,NS,NE,BZ,0.0000000000,2012/02/23,76.0000000000,
Sacramento St&Fillmore St SE-FS/BZ,SACOFIL1,SACOFILL,6296.0000000000,37.7898390000,-122.4336690000,0.0000000000,FILLMORE ST,SACRAMENTO ST,FS,SE,BZ,1.0000000000,2012/02/23,76.0000000000,
Sacramento St&Fillmore St NW-FS/BZ,SACOFIL0,SACOFILL,6295.0000000000,37.7898400000,-122.4343360000,0.0000000000,FILLMORE ST,SACRAMENTO ST,FS,NW,BZ,1.0000000000,2012/02/23,76.0000000000,
Sacramento St&Davis St NE-NS/BZ,SACODAV1,SACODAVS,6294.0000000000,37.7945000000,-122.3976100000,0.0000000000,DAVIS ST,SACRAMENTO ST,NS,NE,BZ,1.0000000000,2012/02/23,76.0000000000,
32nd Ave&California St SE-NS/PS,32AVCAL1,32AVCALI,3546.0000000000,37.7834190000,-122.4924420000,0.0000000000,CALIFORNIA ST,32ND AVE,NS,SE,,0.0000000000,2012/02/23,76.0000000000,
Sacramento St&Laguna St SW-NS/PS,SACOLGN1,SACOLGNA,6306.0000000000,37.7903600000,-122.4291850000,0.0000000000,LAGUNA ST,SACRAMENTO ST,NS,SW,,0.0000000000,2012/02/23,76.0000000000,
Sacramento St&Jones St NE-NS/BZ,SACOJON0,SACOJONE,6301.0000000000,37.7923960000,-122.4141610000,0.0000000000,JONES ST,SACRAMENTO ST,NS,NE,BZ,0.0000000000,2012/02/23,76.0000000000,
California St&8th Ave NW-FS/BZ,CALI 8A0,,7160.0000000000,37.7847920000,-122.4668190000,0.0000000000,8TH AVE,CALIFORNIA ST,,NW,,0.0000000000,2012/02/23,76.0000000000,
Sacramento St&Laguna St NE-NS/BZ,SACOLGN0,SACOLGNA,6305.0000000000,37.7905260000,-122.4289600000,0.0000000000,LAGUNA ST,SACRAMENTO ST,NS,NE,BZ,0.0000000000,2012/02/23,76.0000000000,
Sacramento St&Powell St NE-NS/BZ,SACOPOW0,SACOPOWL,6312.0000000000,37.7930430000,-122.4091160000,0.0000000000,POWELL ST,SACRAMENTO ST,NS,NE,BZ,0.0000000000,2012/02/23,76.0000000000,
Sacramento St&Polk St NW-FS/BZ,SACOPOL0,SACOPOLK,6311.0000000000,37.7915160000,-122.4211460000,0.0000000000,POLK ST,SACRAMENTO ST,FS,NW,BZ,1.0000000000,2012/02/23,76.0000000000,
Sacramento St&Octavia St SE-FS/BZ,SACOOCT1,SACOOCTA,6310.0000000000,37.7906800000,-122.4271380000,0.0000000000,OCTAVIA ST,SACRAMENTO ST,FS,SE,BZ,0.0000000000,2012/02/23,76.0000000000,
California St&30th Ave NW-FS/BZ,CALI30A0,CALI30AV,3843.0000000000,37.7836710000,-122.4905130000,0.0000000000,30TH AVE,CALIFORNIA ST,FS,NW,BZ,0.0000000000,2012/02/23,76.0000000000,
Fillmore St&Sacramento St SW-FS,FILLSA10,FILLSACO,4639.0000000000,37.7895770000,-122.4340400000,0.0000000000,SACRAMENTO ST,FILLMORE ST,FS,SW,,0.0000000000,2012/02/23,76.0000000000,
Howard St&Main St E-NS/BZ,HWRDMAI1,HWRDMAIN,5056.0000000000,37.7904100000,-122.3935200000,0.0000000000,MAIN ST,HOWARD ST,NS,E,BZ,0.0000000000,2012/02/23,76.0000000000,
Davis St&California St NW-NS/BZ,DAVSCAL0,DAVSCALI,4346.0000000000,37.7936300000,-122.3977000000,0.0000000000,CALIFORNIA ST,DAVIS ST,NS,NW,BZ,1.0000000000,2012/02/23,76.0000000000,
Gough St&Sacramento St NE-FS/BZ,GOUGSAC1,GOUGSACO,4905.0000000000,37.7910410000,-122.4257710000,0.0000000000,SACRAMENTO ST,GOUGH ST,FS,NE,BZ,1.0000000000,2012/02/23,76.0000000000,
California St&Steiner St N-MB/SB,CALISTE1,CALISTEI,3898.0000000000,37.7887920000,-122.4350760000,0.0000000000,STEINER ST,CALIFORNIA ST,MB,N,,0.0000000000,2012/02/23,76.0000000000,
California St&Spruce St NE-NS/BZ,CALISPR0,CALISPRC,3896.0000000000,37.7865030000,-122.4532810000,0.0000000000,SPRUCE ST,CALIFORNIA ST,NS,NE,BZ,1.0000000000,2012/02/23,76.0000000000,
California St&Presidio Ave SW-NS/BZ,CALIPRE1,CALIPRES,3893.0000000000,37.7871490000,-122.4468850000,0.0000000000,PRESIDIO AVE,CALIFORNIA ST,NS,SW,BZ,1.0000000000,2012/02/23,76.0000000000,
Drumm St&California St NE-FS/BZ,DRUMCAL0,DRUMCALI,4445.0000000000,37.7939800000,-122.3963500000,0.0000000000,CALIFORNIA ST,DRUMM ST,FS,NE,BZ,0.0000000000,2012/02/23,76.0000000000,
Clay St&Van Ness Ave SW-NS/BZ,CLAYV.N1,CLAYV.N.,4031.0000000000,37.7921060000,-122.4229130000,0.0000000000,VAN NESS AVE,CLAY ST,NS,SW,BZ,1.0000000000,2012/02/23,76.0000000000,
Clay St&Taylor St SE-FS/BZ,CLAYTAY1,CLAYTAYL,4030.0000000000,37.7933630000,-122.4127440000,0.0000000000,TAYLOR ST,CLAY ST,NS,SW,BZ,0.0000000000,2012/02/23,76.0000000000,
Clay St&Stockton St SE-FS/BZ,CLAYSTO1,CLAYSTOK,4029.0000000000,37.7940820000,-122.4075610000,0.0000000000,STOCKTON ST,CLAY ST,FS,SE,BZ,1.0000000000,2012/02/23,76.0000000000,
Clay St&Sansome St SE-FS/BZ,CLAYSAN1,CLAYSANS,4028.0000000000,37.7948200000,-122.4011180000,0.0000000000,SANSOME ST,CLAY ST,FS,SE,BZ,0.0000000000,2012/02/23,76.0000000000,
Clay St&Polk St SE-FS/BZ,CLAYPOL1,CLAYPOLK,4026.0000000000,37.7923850000,-122.4207140000,0.0000000000,POLK ST,CLAY ST,FS,SE,BZ,0.0000000000,2012/02/23,76.0000000000,
Clay St&Montgomery St SE-FS/BZ,CLAYMTG1,CLAYMTGY,4025.0000000000,37.7946820000,-122.4027700000,0.0000000000,MONTGOMERY ST,CLAY ST,FS,SE,BZ,1.0000000000,2012/02/23,76.0000000000,
Clay St&Mason St SE-FS/BZ,CLAYMAS1,CLAYMASN,4024.0000000000,37.7936530000,-122.4108230000,0.0000000000,MASON ST,CLAY ST,FS,SE,BZ,0.0000000000,2012/02/23,76.0000000000,
Clay St&Leavenworth St SW-NS/BZ,CLAYLEA1,CLAYLEAV,4023.0000000000,37.7929590000,-122.4163040000,0.0000000000,LEAVENWORTH ST,CLAY ST,NS,SW,BZ,0.0000000000,2012/02/23,76.0000000000,
Clay St&Larkin St SW-NS/BZ,CLAYLAR1,CLAYLARK,4022.0000000000,37.7925260000,-122.4195890000,0.0000000000,LARKIN ST,CLAY ST,NS,SW,BZ,0.0000000000,2012/02/23,76.0000000000,
Clay St&Jones St SW-NS/BZ,CLAYJON1,CLAYJONE,4020.0000000000,37.7931730000,-122.4146160000,0.0000000000,JONES ST,CLAY ST,NS,SW,BZ,0.0000000000,2012/02/23,76.0000000000,
Clay St&Hyde St SW-NS/BZ,CLAYHYD1,CLAYHYDE,4019.0000000000,37.7927560000,-122.4178990000,0.0000000000,HYDE ST,CLAY ST,NS,SW,BZ,0.0000000000,2012/02/23,76.0000000000,
Clay St&Grant Ave SE-FS/BZ,CLAYGRN1,CLAYGRNT,4018.0000000000,37.7942630000,-122.4059710000,0.0000000000,GRANT AVE,CLAY ST,FS,SE,BZ,0.0000000000,2012/02/23,76.0000000000,
Geary Blvd&33rd Ave NE-NS/BZ,GEAR3311,GEAR33AV,4277.0000000000,37.7797440000,-122.4932270000,0.0000000000,33RD AVE,GEARY BLVD,NS,NE,BZ,0.0000000000,2012/02/23,76.0000000000,
California St&Park Presidio Blvd SW,CALIPKP1,CALIPKPR,3887.0000000000,37.7843650000,-122.4727640000,0.0000000000,PARK PRESIDIO BLVD,CALIFORNIA ST,NS,SW,BZ,1.0000000000,2012/02/23,76.0000000000,
California St&Park Presidio Blvd NW,CALIPKP0,CALIPKPR,3886.0000000000,37.7845150000,-122.4732500000,0.0000000000,PARK PRESIDIO BLVD,CALIFORNIA ST,FS,NW,BZ,1.0000000000,2012/02/23,76.0000000000,
California St&Divisadero St NW-FS,CALIDIV0,CALIDIVI,3858.0000000000,37.7880870000,-122.4408700000,0.0000000000,DIVISADERO ST,CALIFORNIA ST,FS,NW,BZ,1.0000000000,2012/02/23,76.0000000000,
California St&Cherry St NW-FS/BZ,CALICHR0,CALICHRY,3852.0000000000,37.7860420000,-122.4568350000,0.0000000000,CHERRY ST,CALIFORNIA ST,FS,NW,BZ,1.0000000000,2012/02/23,76.0000000000,
California St&Baker St SE-FS/BZ,CALIBAK1,CALIBAKR,3848.0000000000,37.7876200000,-122.4433840000,0.0000000000,BAKER ST,CALIFORNIA ST,FS,SE,BZ,0.0000000000,2012/02/23,76.0000000000,
California St&Maple St NW-FS/BZ,CALIMAP0,CALIMAPL,3879.0000000000,37.7862480000,-122.4552070000,0.0000000000,MAPLE ST,CALIFORNIA ST,FS,NW,BZ,1.0000000000,2012/02/23,76.0000000000,
